Make,Model,Trim,Derivative,Derivative_Translated_English,Number_Of_Doors,Body_Type,Power_Train,Version_Name,Version_Name_Translated_English,Manufacturer_S_Code,Configurator_Model_Year,Built_Option_Pack,Uid,Data_Date,Conclude_Date,Version_Availability,Currency,Price,Delivery_Costs_Retail,Cost_To_Return_The_Vehicle_Retail,Total_Mandatory_Packs_Amount,Country,Research_Date,Start_Date,End_Date,Customer_Type,Monthly_Payment_Type,Product_Name,Product_Description,Monthly_Payment_Provider_Name,Monthly_Payment_Provider_Type,Interest_Rate_Apr,Interest_Rate_Nominal,Contract_Duration_Months,Yearly_Mileage_Km,Yearly_Mileage_Miles,Total_Contract_Mileage_Km,Total_Contract_Mileage_Miles,Deposit_Percentage_Of_Price,Deposit_Retail,Deposit_Base,Of_Monthly_Payments_In_Advance,Of_Monthly_Instalments,First_Monthly_Instalment_Amount_Retail,First_Monthly_Instalment_Amount_Base,Regular_Monthly_Instalment_Amount_Retail,Regular_Monthly_Instalment_Amount_Base,Additional_Fees_Retail,Additional_Fees_Base,Final_Payment_Type,Final_Payment_Percentage_Of_Price,Final_Payment_Retail,Final_Payment_Base,Data_Source,Web_Source_Url,Advertised_Price_Point_Monthly_Payment,Published_Start_Date,Published_End_Date,Oem_Web_Financial_Configurator_Source,Captive_Financial_Configurator_Source,Non_Captive_Financial_Configurator_Source,Bank_Financial_Configurator_Source,Sourced_Dealer_Quote,Jato_Internal_Source,Other_Sources,Vehicle_Price_Reference,Mandatory_Dealer_Contribution_Percentage_Of_Price,Mandatory_Dealer_Contribution_Retail,Mandatory_Dealer_Contribution_Base,Oem_Discount_Percentage_Of_Price,Oem_Discount_Retail,Oem_Discount_Base,Government_Contribution_Percentage_Of_Price,Government_Contribution_Retail,Government_Contribution_Base,Downpayment_Allowance_Percentage_Of_Price,Downpayment_Allowance_Retail,Downpayment_Allowance_Base,Captive_Rebate_Percentage_Of_Price,Captive_Rebate_Retail,Captive_Rebate_Base,Free_Supply_Amount,Residual_Value_Percentage_Of_Price,Residual_Value_Retail,Residual_Value_Base,Lease_Factor_Index,Insurance,Theft_And_Fire_Insurance,Insurance_Description,Sourced_Financed_Amount_Percentage_Of_Price,Sourced_Financed_Amount_Retail,Sourced_Financed_Amount_Base,Unique_Id,Change_Status,Updates_Column,Back_End_Data,Vehicle_Hash,Excess_Mileage_Retail,Excess_Mileage_Base,Reimbursement_Mileage_Retail,Reimbursement_Mileage_Base,Courtesy_Car,Courtesy_Car_Description,Courtesy_Car_Duration_Months,Courtesy_Car_Amount,Fuel_And_Electric_Supply,Fuel_And_Electric_Supply_Description,Supply_Duration_Months,Supply_Amount,Fuel_Quantity_L,Fuel_Quantity_Gal,Electricity_Quantity_Kw,Road_Assistance,Road_Assistance_Description,Road_Assistance_Duration_Months,Road_Assistance_Distance_Km,Road_Assistance_Distance_Miles,Road_Assistance_Amount,Flexible_Early_Cancellation_Possible,Notice_To_Terminate_The_Contract_Mths,Cost_To_Terminate_Contract_Percentage_Of_Price,Cost_To_Terminate_The_Contract_Retail,Cost_To_Terminate_The_Contract_Base,Cost_To_Terminate_The_Contract_Description,Road_Tax,Tyres,Tyres_Description,Tyres_Duration_Months,Of_Summer_Tyres,Of_Winter_Tyres,Of_All_Seasons_Tyres,Tyres_Amount,Premium_Tyres,Tyres_Storage_Service,Maintenance,Maintenance_Description,Maintenance_Duration_Months,Maintenance_Distance_Km,Maintenance_Distance_Miles,Maintenance_Amount,Repair,Repair_Description,Repair_Duration_Months,Repair_Distance_Km,Repair_Distance_Miles,Repair_Amount,Service,Service_Description,Service_Duration_Months,Service_Distance_Km,Service_Distance_Miles,Service_Amount
BMW,iX2,Not Available,BMW iX2 xDrive30 AHK M Sport M SportPro Innovation,BMW iX2 xDrive30 AHK M Sport M SportPro Innovation,4/5,SUV / Gelndewagen / Pickup,Elektro,BMWiX2BMW iX2 xDrive30 AHK M Sport M SportPro Innovation4/5SUV / Gelndewagen / PickupElektro,BMWiX2BMW iX2 xDrive30 AHK M Sport M SportPro Innovation4/5SUV / Gelndewagen / PickupElektro,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,61.98,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Online Autohaus ahg Autohandelsgesellschaft mbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,4999.9860257,3106.855,19999.9441028,12427.42,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,760.61,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=393476417&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,52084.03,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BMW,iX2,Not Available,BMW iX2 xDrive30 M Sportpaket Innovationspaket,BMW iX2 xDrive30 M Sportpaket Innovationspaket,4/5,SUV / Gelndewagen / Pickup,Elektro,BMWiX2BMW iX2 xDrive30 M Sportpaket Innovationspaket4/5SUV / Gelndewagen / PickupElektro,BMWiX2BMW iX2 xDrive30 M Sportpaket Innovationspaket4/5SUV / Gelndewagen / PickupElektro,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,58.15,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Online Autohaus ahg Autohandelsgesellschaft mbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,4999.9860257,3106.855,19999.9441028,12427.42,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,714.98,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=393476415&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,48865.55,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BMW,iX2,Not Available,BMW iX2 xDrive30 M Sportpaket Panorama Head Up AHK,BMW iX2 xDrive30 M Sportpaket Panorama Head Up AHK,4/5,SUV / Gelndewagen / Pickup,Elektro,BMWiX2BMW iX2 xDrive30 M Sportpaket Panorama Head Up AHK4/5SUV / Gelndewagen / PickupElektro,BMWiX2BMW iX2 xDrive30 M Sportpaket Panorama Head Up AHK4/5SUV / Gelndewagen / PickupElektro,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,61.45,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Online Autohaus ahg Autohandelsgesellschaft mbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,4999.9860257,3106.855,19999.9441028,12427.42,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,754.77,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=393476410&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,51638.66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BMW,iX2,Not Available,BMW iX2 xDrive30 AHK M Sportpaket Innovationspaket,BMW iX2 xDrive30 AHK M Sportpaket Innovationspaket,4/5,SUV / Gelndewagen / Pickup,Elektro,BMWiX2BMW iX2 xDrive30 AHK M Sportpaket Innovationspaket4/5SUV / Gelndewagen / PickupElektro,BMWiX2BMW iX2 xDrive30 AHK M Sportpaket Innovationspaket4/5SUV / Gelndewagen / PickupElektro,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,57.98,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Online Autohaus ahg Autohandelsgesellschaft mbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,4999.9860257,3106.855,19999.9441028,12427.42,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,702.38,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=393476407&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,48722.69,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Suzuki,Vitara,Not Available,Suzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT SP,Suzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT SP,4/5,SUV / Gelndewagen / Pickup,Benzin,SuzukiVitaraSuzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT SP4/5SUV / Gelndewagen / PickupBenzin,SuzukiVitaraSuzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT SP4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,24.985,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autohaus Pohlmann GmbH & Co.KG,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",60,9999.9720514,6213.71,49999.860257,31068.55,Not Available,0,Not Available,Not Available,60,Not Available,Not Available,221.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=389003199&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,20995.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Suzuki,Vitara,Not Available,Suzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT LE,Suzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT LE,4/5,SUV / Gelndewagen / Pickup,Benzin,SuzukiVitaraSuzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT LE4/5SUV / Gelndewagen / PickupBenzin,SuzukiVitaraSuzuki Vitara SHINKAI 1.5 HYBRID ALLGRIP AGS COMFORT LE4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,24.845,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autohaus Pohlmann GmbH & Co.KG,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",60,9999.9720514,6213.71,49999.860257,31068.55,Not Available,0,Not Available,Not Available,60,Not Available,Not Available,221.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=389003089&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,20878.15,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Toyota,C HR,Not Available,Toyota C HR 2.0 Plug in Team D,Toyota C HR 2.0 Plug in Team D,4/5,SUV / Gelndewagen / Pickup,Hybrid (Benzin/Elektro),ToyotaC HRToyota C HR 2.0 Plug in Team D4/5SUV / Gelndewagen / PickupHybrid (Benzin/Elektro),ToyotaC HRToyota C HR 2.0 Plug in Team D4/5SUV / Gelndewagen / PickupHybrid (Benzin/Elektro),Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,39.479,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,AUTOLEVY GmbH & Co. KG,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,443.86,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=398717984&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,33175.63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Toyota,Corolla,Not Available,Toyota Corolla Touring Sports 1.8 Hybrid +Navi+R.Kamera,Toyota Corolla Touring Sports 1.8 Hybrid +Navi+R.Kamera,4/5,Kombi,Hybrid (Benzin/Elektro),ToyotaCorollaToyota Corolla Touring Sports 1.8 Hybrid +Navi+R.Kamera4/5KombiHybrid (Benzin/Elektro),ToyotaCorollaToyota Corolla Touring Sports 1.8 Hybrid +Navi+R.Kamera4/5KombiHybrid (Benzin/Elektro),Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,28.939,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,AUTOLEVY GmbH & Co. KG,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,296.92,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=392511435&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,24318.49,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Toyota,C HR,Not Available,Toyota C HR GR Sport +Klima+Navi+RKamera+PDC+WinterPak+,Toyota C HR GR Sport +Klima+Navi+RKamera+PDC+WinterPak+,4/5,SUV / Gelndewagen / Pickup,Hybrid (Benzin/Elektro),ToyotaC HRToyota C HR GR Sport +Klima+Navi+RKamera+PDC+WinterPak+4/5SUV / Gelndewagen / PickupHybrid (Benzin/Elektro),ToyotaC HRToyota C HR GR Sport +Klima+Navi+RKamera+PDC+WinterPak+4/5SUV / Gelndewagen / PickupHybrid (Benzin/Elektro),Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,37.909,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,AUTOLEVY GmbH & Co. KG,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,349.51,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=389854648&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,31856.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Skoda,Scala,Not Available,"Skoda Scala Monte Carlo 1,5 TSI, KESSY, MATRIX LED","Skoda Scala Monte Carlo 1,5 TSI, KESSY, MATRIX LED",4/5,Limousine,Benzin,"SkodaScalaSkoda Scala Monte Carlo 1,5 TSI, KESSY, MATRIX LED4/5LimousineBenzin","SkodaScalaSkoda Scala Monte Carlo 1,5 TSI, KESSY, MATRIX LED4/5LimousineBenzin",Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,36.39,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Feser Lauf GmbH KODA,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,299.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=397234199&isSearchRequest=true&lst=p&od=down&pageNumber=12&ref=srp&refId=fa4d3a83 39d9 5090 6814 b02280520686&s=Car&sb=doc&searchId=fa4d3a83 39d9 5090 6814 b02280520686&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,30579.83,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
