name,price,original_price,discount,image
Campus - BOOMER (N) White Men's Sports Running Shoes,Rs.  951,"Rs. 1,119",15% Off,https://t1.sdlcdn.com/imgs/k/g/7/large/Campus-BOOMER-N-White-Men-SDL708334856-1-2edd5.webp
ASIAN  Black  Men's Sports Running Shoes,Rs.  514,Rs. 999,49% Off,https://t1.sdlcdn.com/imgs/j/y/m/large/ASIAN-WONDER-13-Black-Running-SDL825557795-1-88049.webp
Campus TERMINATOR (N) Black Running Shoes,"Rs.  1,249","Rs. 2,299",46% Off,https://t2.sdlcdn.com/imgs/j/s/e/large/Campus-TERMINATOR-N-Black-Running-SDL629442386-1-72de4.webp
ASIAN THAR-01 Blue Men's Sports Running Shoes,Rs.  632,"Rs. 1,249",49% Off,https://t3.sdlcdn.com/imgs/k/v/u/large/ASIAN-THAR-01-Blue-Men-SDL852446921-1-dafb9.webp
Campus CRUNCH Black Men's Sports Running Shoes,Rs.  849,"Rs. 1,299",35% Off,https://t2.sdlcdn.com/imgs/k/u/b/large/Campus-CRUNCH-Black-Men-s-SDL183080128-1-1baf6.jpeg
ASIAN - NEXON-13 White Men's Sports Running Shoes,Rs.  632,"Rs. 1,199",47% Off,https://t3.sdlcdn.com/imgs/k/n/u/large/ASIAN-NEXON-13-White-Men-SDL899218428-1-2e16c.webp
Campus CAMP KARL White Men's Sports Running Shoes,Rs.  899,"Rs. 1,599",44% Off,https://t3.sdlcdn.com/imgs/k/u/o/large/Campus-CAMP-KARL-White-Men-SDL361629436-1-e4624.JPG
ASIAN THAR-01 Black Men's Sports Running Shoes,Rs.  632,"Rs. 1,249",49% Off,https://t1.sdlcdn.com/imgs/k/v/u/large/ASIAN-THAR-01-Black-Men-SDL582154087-1-77d7d.jpeg
Action Sports Shoes Black Men's Sports Running Shoes,Rs.  662,"Rs. 1,399",53% Off,https://t1.sdlcdn.com/imgs/k/t/0/large/Action-Sports-Shoes-Black-Men-SDL699626017-1-84750.webp
Combit - Netflix-1 Navy Blue Men's Sports Running Shoes,Rs.  762,"Rs. 2,399",68% Off,https://t2.sdlcdn.com/imgs/k/r/d/large/Combit-Netflix-1-Navy-Blue-SDL325776030-1-45d35.webp
ASIAN WATERPROOF-03 Navy Men's Sports Running Shoes,Rs.  605,Rs. 999,39% Off,https://t2.sdlcdn.com/imgs/k/w/o/large/ASIAN-WATERPROOF-03-Navy-Men-SDL660937577-1-4b0cb.webp
Avant Bolt Blue Men's Sports Running Shoes,Rs.  640,"Rs. 1,899",66% Off,https://t3.sdlcdn.com/imgs/k/t/5/large/Avant-Bolt-Blue-Men-s-SDL582377940-1-c6e64.webp
Birde Gray Men's Sports Running Shoes,Rs.  464,Rs. 499,7% Off,https://t4.sdlcdn.com/imgs/k/t/7/large/Birde-Gray-Men-s-Sports-SDL498695212-1-d5bbd.webp
Campus CESTER (N) Blue  Men's Sports Running Shoes,"Rs.  1,172","Rs. 1,299",10% Off,https://t2.sdlcdn.com/imgs/j/t/d/large/Campus-CESTER-N-Blue-Running-SDL269482453-1-b513b.webp
ASIAN  Purple  Men's Sports Running Shoes,"Rs.  1,035","Rs. 1,999",48% Off,https://t3.sdlcdn.com/imgs/k/f/t/large/ASIAN-Purple-Men-s-Sports-SDL227106565-1-98712.jpeg
Action  Blue  Men's Sports Running Shoes,Rs.  649,"Rs. 1,899",66% Off,https://t3.sdlcdn.com/imgs/k/e/8/large/Action-Mesh-Slip-On-Blue-SDL770567307-1-b49db.webp
YUUKI - DELTA RUN III Gray Men's Sports Running Shoes,Rs.  565,"Rs. 3,299",83% Off,https://t3.sdlcdn.com/imgs/k/k/z/large/YUUKI-DELTA-RUN-III-Gray-SDL892911371-1-24882.webp
Abros - SPECTRUM-N White Men's Sports Running Shoes,"Rs.  1,152","Rs. 1,899",39% Off,https://t1.sdlcdn.com/imgs/k/n/7/large/Abros-SPECTRUM-N-White-Men-SDL707448280-1-5f61f.webp
ASIAN White Training Shoes,Rs.  577,Rs. 999,42% Off,https://t1.sdlcdn.com/imgs/k/k/1/large/ASIAN-White-Training-Shoes-SDL231653900-1-22b59.jpeg
Campus SENSOR Black Men's Sports Running Shoes,"Rs.  1,389","Rs. 1,999",31% Off,https://t1.sdlcdn.com/imgs/k/c/t/large/Campus-SENSOR-Black-Running-Shoes-SDL796257301-1-6f813.webp
